"filename", "language", "JavaScript", "PostCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"d:\programming\webApps\idgg\idgg\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"d:\programming\webApps\idgg\idgg\package-lock.json", "JSON", 0, 0, 20135, 0, 0, 0, 1, 20136
"d:\programming\webApps\idgg\idgg\package.json", "JSON", 0, 0, 46, 0, 0, 0, 1, 47
"d:\programming\webApps\idgg\idgg\public\index.html", "HTML", 0, 0, 0, 0, 23, 23, 2, 48
"d:\programming\webApps\idgg\idgg\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"d:\programming\webApps\idgg\idgg\public\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 6
"d:\programming\webApps\idgg\idgg\src\App.css", "PostCSS", 0, 3, 0, 0, 0, 0, 0, 3
"d:\programming\webApps\idgg\idgg\src\App.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 15
"d:\programming\webApps\idgg\idgg\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"d:\programming\webApps\idgg\idgg\src\components\NotFoundPage.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"d:\programming\webApps\idgg\idgg\src\components\home.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 28
"d:\programming\webApps\idgg\idgg\src\components\playerPage.js", "JavaScript", 596, 0, 0, 0, 0, 28, 55, 679
"d:\programming\webApps\idgg\idgg\src\index.css", "PostCSS", 0, 15, 0, 0, 0, 0, 3, 18
"d:\programming\webApps\idgg\idgg\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 3, 3, 16
"d:\programming\webApps\idgg\idgg\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"d:\programming\webApps\idgg\idgg\src\routes.js", "JavaScript", 16, 0, 0, 0, 0, 0, 2, 18
"d:\programming\webApps\idgg\idgg\src\setupProxy.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"d:\programming\webApps\idgg\idgg\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"d:\programming\webApps\idgg\idgg\src\styles.css", "PostCSS", 0, 8, 0, 0, 0, 1, 1, 10
"d:\programming\webApps\idgg\idgg\tailwind.config.js", "JavaScript", 36, 0, 0, 0, 0, 1, 2, 39
"d:\programming\webApps\idgg\package-lock.json", "JSON", 0, 0, 1222, 0, 0, 0, 1, 1223
"d:\programming\webApps\idgg\package.json", "JSON", 0, 0, 12, 0, 0, 0, 1, 13
"d:\programming\webApps\idgg\proxyServer.js", "JavaScript", 151, 0, 0, 0, 0, 21, 33, 205
"Total", "-", 887, 26, 21440, 38, 23, 81, 153, 22648