"filename", "language", "JavaScript", "Markdown", "comment", "blank", "total"
"d:\programming\webApps\idgg\idgg\README.md", "Markdown", 0, -37, 0, -32, -69
"d:\programming\webApps\idgg\idgg\src\components\home.js", "JavaScript", 4, 0, 0, 1, 5
"d:\programming\webApps\idgg\idgg\src\components\matchParticipants.js", "JavaScript", 30, 0, 1, 4, 35
"d:\programming\webApps\idgg\idgg\src\components\matchTimeAndQueueType.js", "JavaScript", 16, 0, 0, 3, 19
"d:\programming\webApps\idgg\idgg\src\components\playerPage.js", "JavaScript", -466, 0, -11, -35, -512
"d:\programming\webApps\idgg\idgg\src\components\rankedSoloAndFlex.js", "JavaScript", 223, 0, 4, 23, 250
"d:\programming\webApps\idgg\idgg\src\components\summonerItems.js", "JavaScript", 89, 0, 0, 3, 92
"d:\programming\webApps\idgg\idgg\src\components\summonerKDA.js", "JavaScript", 21, 0, 0, 2, 23
"d:\programming\webApps\idgg\idgg\src\components\summonerKeystones.js", "JavaScript", 206, 0, 0, 15, 221
"d:\programming\webApps\idgg\proxyServer.js", "JavaScript", 1, 0, 0, 0, 1
"Total", "-", 124, -37, -6, -16, 65